source,target,weight
dazzler,frisco kid,7
dazzler,frenchy,2
dazzler,red nelson,9
dazzler,pete,13
dazzler,jack robinson,2
dazzler,joe,26
dazzler,takin,2
dazzler,hunter,3
dazzler,chapter xx perilous hours,1
frisco kid,pete,3
frisco kid,joe,19
frisco kid,red nelson,3
frisco kid,takin,2
frenchy,pete,4
frenchy,red nelson,9
red nelson,pete,27
red nelson,joe,8
red nelson,snug,6
red nelson,chapter xx perilous hours,2
red nelson,bronson,5
red nelson,takin,2
pete,joe,40
pete,takin,2
pete,lee,1
pete,grub,2
pete,snug,3
pete,bronson,5
joe,takin,3
joe,hunter,3
joe,lee,1
joe,grub,2
joe,snug,3
joe,bronson,5
joe,tate,4
bronson,tate,4
lee,grub,2
